Date, Open, High, Low, Close
02/06/23, 33874.44, 33962.84, 33683.58, 33891.02
02/07/23, 33769.78, 34240.00, 33634.10, 34156.69
02/08/23, 34132.90, 34161.65, 33899.79, 33949.01
02/09/23, 34105.61, 34252.57, 33607.13, 33699.88
02/10/23, 33671.54, 33897.31, 33591.99, 33869.27
